company_number,company_name,employees,turnover,balance_sheet,accounts_date
00297673,Geerings Limited,4.0,,10812233.0,31 March 2
00141378,HALIFAX SOCIALIST HALLS LIMITED,0.0,,87786.0,31 March 2
00301459,"Hillsborough Golf Club,Limited",8.0,,1660537.0,31 March 2
00344525,JOHN BRACEWELL & SONS LIMITED,2.0,,24535.0,31 March 2
00148906,THE PAPWORTH TRUST,234.0,14525000.0,50158000.0,31 March 2
00350570,THOMAS TRANSPORT (WREXHAM) LIMITED,6.0,,10279.0,31 March 2
00113970,Wallace Brothers Trading & Industrial Limited,0.0,,118873773.0,31 March 2
00302341,William Powell Limited,26.0,,44126.0,31 March 2
00114653,MANCHESTER PROVISION EXCHANGE LIMITED,4.0,,18939.0,31 March 2
00146374,"SHINGLES,LIMITED",0.0,,63362.0,31 March 2
00386397,WMI LIMITED,0.0,,1064993.0,31 March 2
00391454,Tadworth Hotels Limited,,,1657313.0,31 March 2
00344535,PRP OPERATIONS LTD.,1.0,,512216.0,31 March 2
00300421,St. Mellons Country Estates Limited,2.0,,1.0,31 March 2
00350075,LONDON ASSOCIATION OF ACCOUNTANTS LIMITED(THE),,,0.0,31 March 2
00399104,HINDLEY MASONIC PROPERTIES COMPANY LIMITED,0.0,,87070.0,31 July 20
00055167,Hampshire Incorporated Law Society,3.0,,5384.0,31 July 20
00065664,Dover Masonic Hall Company Limited(The),2.0,,100580.0,31 Decembe
00156896,Greens Motors Ltd,9.0,,1328312.0,31 Decembe
00062288,"RATIONALIST PRESS ASSOCIATION,LIMITED(THE)",0.0,,991.0,31 Decembe
00322986,E.White & Son(Taunton)Limited,4.0,,78629.0,31 Decembe
00321419,BLUGILT HOLDINGS LTD,0.0,,3550000.0,31 Decembe
00398387,TASSIA LIMITED,9.0,,11390.0,31 Decembe
00231877,"EDWIN BLYDE & CO,LIMITED",6.0,,3241.0,31 Decembe
00225289,Guildford Diocesan Board of Finance,0.0,,208612000.0,31 Decembe
