company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name
12087784,Country Cousins Homecare Agencies Ltd,43000,,7216000.0,2025-03-31,EMPLOYEE_TEST,,
13843726,Enimed (Holdings) Limited,395,64956241.0,22778811.0,2025-03-31,EMPLOYEE_TEST,,
09198035,Positive Individual Proactive Support Limited,373,13324933.0,592634.0,2025-03-31,EMPLOYEE_TEST,,
09188192,So Far Ltd,452,,38211.0,2025-03-31,EMPLOYEE_TEST,,
13749536,Plymouth Active Leisure Limited,304,,-307263.0,2025-03-31,EMPLOYEE_TEST,,
08705643,Knowledge Transfer Network Limited,288,36647452.0,8725222.0,2025-03-31,EMPLOYEE_TEST,,
15295312,Agency CMG Limited,260,,,2025-03-31,EMPLOYEE_TEST,,
08982994,Berkeley Home Health Holdco Limited,1000,,1073000.0,2025-03-31,EMPLOYEE_TEST,,
08781493,Berkeley Home Health Limited,124000,3722000.0,13938000.0,2025-03-31,EMPLOYEE_TEST,,
13688955,Hamburg Topco Limited,373,49586130.0,26795610.0,2025-03-31,EMPLOYEE_TEST,,
13689209,Hamburg Bidco Limited,373,49586130.0,26795610.0,2025-03-31,EMPLOYEE_TEST,,
10483079,Restful Homes Group Ltd.,1146,67283966.0,260449814.0,2025-03-31,EMPLOYEE_TEST,,
10644283,NEWYDD CATERING & CLEANING LIMITED,360,,79936.0,2025-03-31,EMPLOYEE_TEST,,
09960882,NOTTINGHAM CITY GP ALLIANCE LIMITED,293,14284248.0,117258.0,2025-03-31,EMPLOYEE_TEST,,
04601274,eXPD8 Limited,2781,34783428.0,331866.0,2025-03-22,EMPLOYEE_TEST,,
07830865,MONGODB UK LIMITED,250,80963760.0,2545941.0,2025-01-31,EMPLOYEE_TEST,,
02111794,KEITH PATTINSON LIMITED,291,20378880.0,3525659.0,2024-12-31,EMPLOYEE_TEST,,
02505735,Reuters News & Media Limited,1009000,236570000.0,200635000.0,2024-12-31,EMPLOYEE_TEST,,
13386861,SDHUK OWNER LTD,264,,28789506.0,2024-12-31,EMPLOYEE_TEST,,
01724399,SAAB UK LTD,228,58797450.0,42802176.0,2024-12-31,FINANCIAL_TEST,,
02406224,Translux International Limited,317,,23610855.0,2024-12-31,EMPLOYEE_TEST,,
07543597,A QUALITY SERVICE LIMITED,252,4498761.0,3604000.0,2024-12-31,EMPLOYEE_TEST,,
05235361,THE SOHO SANDWICH COMPANY LTD,259,30180809.0,1541292.0,2024-12-31,EMPLOYEE_TEST,,
NI067491,AROUND NOON LIMITED,307,26378870.0,2651386.0,2024-12-31,EMPLOYEE_TEST,,
09229684,BABYLON HEALTHCARE SERVICES LIMITED,522,29285786.0,6904548.0,2024-12-31,EMPLOYEE_TEST,,
09653326,DEMATIC GROUP LIMITED,4,144339000.0,59675000.0,2024-12-31,FINANCIAL_TEST,,
09976204,TELUS Health (UK) Holdco Limited,2000,,123384000.0,2024-12-31,EMPLOYEE_TEST,,
03472296,BERKELEY SCOTT LIMITED,815,18033001.0,1203334.0,2024-12-31,EMPLOYEE_TEST,,
03761935,MAUVE CORPORATE SYSTEMS UK LIMITED,347,31402764.0,77185.0,2024-12-31,EMPLOYEE_TEST,,
12793914,GOBRANDS UK HOLDINGS LTD,842,101996176.0,3563943.0,2024-12-31,EMPLOYEE_TEST,,
OC368517,WASSERMAN EMEA LLP,537,,16593000.0,2024-12-31,EMPLOYEE_TEST,,
06878814,HEALTHY RETAIL LIMITED,269,23552820.0,2792308.0,2024-12-26,EMPLOYEE_TEST,,
12492264,THE INFORMATION LAB HOLDING LTD,311,,4309922.0,2024-03-31,EMPLOYEE_TEST,,
04456479,EXIGENT LIMITED,395,,201414.0,2023-12-31,EMPLOYEE_TEST,,
00052099,"S.A.Brain & Company,Limited",31000,,14247000.0,,EMPLOYEE_TEST,,
00455692,Fine Lady Bakeries Limited,739,163877195.0,43865028.0,,EMPLOYEE_TEST,,
00644062,Econ Engineering Limited,251,58292535.0,68292826.0,,EMPLOYEE_TEST,,
00719446,Heygate and Sons Limited,1178,,21071864.0,,EMPLOYEE_TEST,,
01044173,Hurst Stores and Interiors Limited,29000,,3447000.0,,EMPLOYEE_TEST,,
01365921,Braymale Limited,454,9864318.0,3705633.0,,EMPLOYEE_TEST,,
01780818,Allan Webb Ltd,286,18902855.0,159030.0,,EMPLOYEE_TEST,,
02235387,TURLEY ASSOCIATES LIMITED,278,,734803.0,,EMPLOYEE_TEST,,
02358974,Ovalseal Limited,489,,30004.0,,EMPLOYEE_TEST,,
02698436,CUERDEN ESTATES LIMITED,528,30787225.0,13142710.0,,EMPLOYEE_TEST,,
02793994,AERO FABRICATIONS LIMITED,300,27916618.0,18195558.0,,EMPLOYEE_TEST,,
02907221,Ridge Crest Cleaning Limited,761,11695492.0,734300.0,,EMPLOYEE_TEST,,
02911962,Hurst Joinery Projects Limited,67000,,780000.0,,EMPLOYEE_TEST,,
02911969,Hurst Group (Northern) Limited,270000,,4388000.0,,EMPLOYEE_TEST,,
03031072,Filco Supermarkets Limited,262,23449707.0,8728308.0,,EMPLOYEE_TEST,,
03034235,Hurst Plastics Limited,165000,29077000.0,5659000.0,,EMPLOYEE_TEST,,
03040310,Island Healthcare Limited,299,,725831.0,,EMPLOYEE_TEST,,
03138503,PLANNING SOLUTIONS LIMITED,312,,2971901.0,,EMPLOYEE_TEST,,
03198769,A1 PERSONNEL EMPLOYMENT AGENCY LTD,360,9879616.0,2466629.0,,EMPLOYEE_TEST,,
03253377,COUNTRY COURT CARE HOMES LIMITED,454,18891316.0,48148523.0,,EMPLOYEE_TEST,,
03665746,I.C.S. (UK) Limited,313,172054186.0,4498635.0,,EMPLOYEE_TEST,,
04076270,WHITELODGE ALVELEY LIMITED,279,,1625237.0,,EMPLOYEE_TEST,,
04156069,MGF LIMITED,429,,70436833.0,,EMPLOYEE_TEST,,
04335541,CITY & COUNTY CARE SERVICES LIMITED,314,9895167.0,20554.0,,EMPLOYEE_TEST,,
04386504,INDUSTRIA PERSONNEL SERVICES LTD.,2171,,508762.0,,EMPLOYEE_TEST,,
04423982,SKF. Lo (Chemists) Limited,256,30699381.0,16558613.0,,EMPLOYEE_TEST,,
04737976,Cosmesurge Ltd,1000,,5130000.0,,EMPLOYEE_TEST,,
04907778,OLDFIELD RESIDENTIAL CARE LTD,279,,4028282.0,,EMPLOYEE_TEST,,
04933418,DRAIN LINE SOUTHERN LIMITED,255,22852067.0,4564550.0,,EMPLOYEE_TEST,,
05380768,TOTAL CATERING SOLUTIONS RECRUITMENT LTD,1052,,54172.0,,EMPLOYEE_TEST,,
05807304,ASSOCIATED CONTINUITY TEAMS LIMITED,477,8670099.0,189341.0,,EMPLOYEE_TEST,,
05872949,CONNISTON CARE LIMITED,268,,8225629.0,,EMPLOYEE_TEST,,
05963017,Trustcare Management Limited,379,,299217.0,,EMPLOYEE_TEST,,
06056699,BJF CONNECTIONS LTD,333,68486214.0,4602911.0,,EMPLOYEE_TEST,,
06098336,KARAN RETAIL LTD,39,194862442.0,71228145.0,,FINANCIAL_TEST,,
06195309,LAF HOLDINGS LTD AND SUBSIDIARIES,1251,,111202361.0,,EMPLOYEE_TEST,,
06526813,FOCUS CARE SUPPORTED LIVING LTD,356,15506369.0,2246434.0,,EMPLOYEE_TEST,,
06854380,GMT Spas International Limited,5005,,97325.0,,EMPLOYEE_TEST,,
06867999,GBA Technical Services Limited,266,12563977.0,2831827.0,,EMPLOYEE_TEST,,
06899831,Datel Advansys Limited,23000,,657000.0,,EMPLOYEE_TEST,,
