company_number,company_name,employees,turnover,balance_sheet,accounts_date,qualification_route,covering_parent_number,covering_parent_name,company_status,jurisdiction,registered_address,sic_codes
01427132,AIM COMMERCIAL CLEANING LIMITED,860,16293099.0,3452216.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"12 Hatherley Road, Sidcup, Kent, DA14 4DT",81210
09298295,AIM HOUSE INVESTMENTS LIMITED & SUBSIDIARY,860,16293099.0,3975018.0,31 March 2,EMPLOYEE_TEST,,,active,england-wales,"12 Hatherley Road, Sidcup, DA14 4DT",64301
12793914,GOBRANDS UK HOLDINGS LTD,842,101996176.0,3563943.0,2024-12-31,EMPLOYEE_TEST,,,active,england-wales,"48 Hoxton Square, London, N1 6PB",47110
03472296,BERKELEY SCOTT LIMITED,815,18033001.0,1203334.0,2024-12-31,EMPLOYEE_TEST,,,active,england-wales,"4th Floor, 19-21 Great Tower Street, London, EC3R 5AR",78200
07630156,Optalis Limited,805,57604132.0,66108.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"Trinity Court, Molly Millars Lane, Wokingham, RG41 2PY",86900;87300;88100
02907221,Ridge Crest Cleaning Limited,761,11695492.0,734300.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 3 Service House, 61/63 Rochester Road, Aylesford, ME20 7BS",81229
13484093,Ridge Crest Holdings Limited,761,,2078365.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 3 Service House, 61/63 Rochester Road, Aylesford, ME20 7BS",64209
13771306,ETHOS FARM HOLDINGS LIMITED,757,30252841.0,466414.0,31 Decembe,EMPLOYEE_TEST,,,active,england-wales,"2 Crossways Business Centre, Bicester Road, Kingswood, Aylesbury, HP18 0RA",64209
14251187,EFS Global Holdings Ltd,748,117888588.0,27429356.0,2025-03-31,EMPLOYEE_TEST,,,active,england-wales,"E F S Global, Pendle House, Phoenix Way, Burnley, BB11 5SX",49410
00455692,Fine Lady Bakeries Limited,739,163877195.0,43865028.0,,EMPLOYEE_TEST,,,active,england-wales,"Bugbrooke Mills, Bugbrooke, Northampton, NN7 3QH",10710
10378647,ETHOS FARM LIMITED,730,26571573.0,2930895.0,31 Decembe,EMPLOYEE_TEST,,,active,england-wales,"2 Crossways Business Centre, Bicester Road, Kingswood, Aylesbury, HP18 0RA",82990
11877576,Ensco 1330 Limited,726,,2700.0,,EMPLOYEE_TEST,,,active,england-wales,"Meridian House, Alexandra Dock North, Grimsby, DN31 3UA",64209
SC380772,TANZ LIMITED,666,,842261.0,2025-03-31,EMPLOYEE_TEST,,,active,scotland,"4d Auchingramont Road, Hamilton, ML3 6JT",96020
02367892,ANGLIA RUSKIN ENTERPRISE LTD,665,5074274.0,11040232.0,2025-07-31,EMPLOYEE_TEST,,,active,england-wales,"Bishop Hall Lane, Chelmsford, Essex, CM1 1SQ",85590
10487556,SUDHIR POWER (UK) LIMITED,647,,18140769.0,,EMPLOYEE_TEST,,,active,england-wales,"Unit 2 Charnwood Edge Business Park, Syston Road, Cossington, LE7 4UZ",46690
09826810,TRISTONE HEALTHCARE LIMITED,638,,53386.0,,EMPLOYEE_TEST,,,,,,
10668549,TRISTONE GROUP LTD,638,,509554.0,,EMPLOYEE_TEST,,,active,england-wales,"5 Brooklands Place, Brooklands Road, Sale, M33 3SD",64303
07061135,Day Webster Limited,626,,238373.0,,EMPLOYEE_TEST,,,active,england-wales,"Treviot House, 186-192 High Road, Ilford, IG1 1LR",78109
09147067,LYCA LEASING HOLDING LIMITED,612,,6518832.0,,EMPLOYEE_TEST,,,active,england-wales,"3rd Floor Walbrook Building, 195 Marsh Wall, London, E14 9SG",77390
